path,method,status,ok,category,responseSnippet
"/v1/abonos","GET","","false","request_error","This operation was aborted"
"/v1/abonospagos","GET","","false","request_error","This operation was aborted"
"/v1/addons","GET","200","true","ok_or_client_error","{""addons"":[]}"
"/v1/almacen","GET","","false","request_error","This operation was aborted"
"/v1/articulos","GET","200","true","ok_or_client_error","{""page"":1,""limit"":50,""total"":13,""rows"":[{""CODIGO"":""INS-BEBIDA-VASO"",""Referencia"":"""",""Categoria"":""INSUMOS"",""Marca"":"""",""Tipo"":""PRODUCTO"",""Unidad"":""UND"",""Clase"":"""",""DESCRIPCION"":""Insu"
"/v1/auth/login-options","GET","400","false","ok_or_client_error","{""error"":""invalid_query"",""issues"":{""formErrors"":[],""fieldErrors"":{""usuario"":[""Required""]}}}"
"/v1/bancos","GET","200","true","ok_or_client_error","{""rows"":[{""Nombre"":""Banco Default"",""Contacto"":""Sistema"",""Direccion"":null,""Telefonos"":null}],""total"":1,""page"":1,""limit"":50}"
"/v1/categorias","GET","","false","request_error","This operation was aborted"
"/v1/centro-costo","GET","","false","request_error","This operation was aborted"
"/v1/clases","GET","","false","request_error","This operation was aborted"
"/v1/clientes","GET","200","true","ok_or_client_error","{""page"":1,""limit"":50,""total"":1,""rows"":[{""CustomerId"":""1"",""CompanyId"":1,""CustomerCode"":""CLI-DEMO-01"",""CustomerName"":""Cliente Mostrador Demo"",""FiscalId"":""V-00000000"",""Email"":""cliente"
"/v1/config","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/config</pre> </body> </html> "
"/v1/contabilidad","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/contabilidad</pre> </body> </html> "
"/v1/crud","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/crud</pre> </body> </html> "
"/v1/cuentas","GET","200","true","ok_or_client_error","{""rows"":[{""COD_CUENTA"":""1"",""DESCRIPCION"":""ACTIVO"",""TIPO"":""A"",""Nivel"":1,""grupo"":""1"",""LINEA"":"""",""USO"":""T"",""Porcentaje"":0,""SALDO"":0,""PRESUPUESTO"":0,""IsActive"":true,""AccountId"":""4""},{"""
"/v1/cuentas-por-pagar","GET","200","true","ok_or_client_error","{""page"":1,""limit"":50,""total"":0,""rows"":[],""executionMode"":""canonical""}"
"/v1/cxc","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/cxc</pre> </body> </html> "
"/v1/cxp","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/cxp</pre> </body> </html> "
"/v1/documentos-compra","GET","200","true","ok_or_client_error","{""page"":1,""limit"":50,""total"":0,""rows"":[],""executionMode"":""unified""}"
"/v1/documentos-venta","GET","400","false","ok_or_client_error","{""error"":""invalid_query"",""issues"":{""formErrors"":[],""fieldErrors"":{""tipoOperacion"":[""Required""]}}}"
"/v1/empleados","GET","200","true","ok_or_client_error","{""rows"":[],""total"":0,""page"":1,""limit"":50}"
"/v1/empresa","GET","","false","request_error","This operation was aborted"
"/v1/fiscal","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/fiscal</pre> </body> </html> "
"/v1/grupos","GET","","false","request_error","This operation was aborted"
"/v1/inventario","GET","200","true","ok_or_client_error","{""page"":1,""limit"":50,""total"":13,""rows"":[{""CODIGO"":""INS-BEBIDA-VASO"",""Referencia"":"""",""Categoria"":""INSUMOS"",""Marca"":"""",""Tipo"":""PRODUCTO"",""Unidad"":""UND"",""Clase"":"""",""DESCRIPCION"":""Insu"
"/v1/lineas","GET","","false","request_error","This operation was aborted"
"/v1/maestros","GET","200","true","ok_or_client_error","{""items"":[{""slug"":""correlativo"",""schema"":""dbo"",""table"":""Correlativo""},{""slug"":""empresa"",""schema"":""dbo"",""table"":""Empresa""},{""slug"":""feriados"",""schema"":""dbo"",""table"":""Feriados""},{""sl"
"/v1/marcas","GET","","false","request_error","This operation was aborted"
"/v1/media","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/media</pre> </body> </html> "
"/v1/meta","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/meta</pre> </body> </html> "
"/v1/movinvent","GET","","false","request_error","This operation was aborted"
"/v1/nomina","GET","200","true","ok_or_client_error","{""rows"":[],""total"":0}"
"/v1/p-cobrar","GET","200","true","ok_or_client_error","{""page"":1,""limit"":50,""total"":0,""rows"":[],""executionMode"":""canonical""}"
"/v1/pagos","GET","","false","request_error","This operation was aborted"
"/v1/pagosc","GET","","false","request_error","This operation was aborted"
"/v1/payments","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/payments</pre> </body> </html> "
"/v1/pos","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/pos</pre> </body> </html> "
"/v1/proveedores","GET","200","true","ok_or_client_error","{""page"":1,""limit"":50,""total"":1,""rows"":[{""SupplierId"":""1"",""CompanyId"":1,""SupplierCode"":""SUP-REST-01"",""SupplierName"":""Proveedor Restaurante Demo"",""FiscalId"":""J-00000000-1"",""Email"":""c"
"/v1/reportes","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/reportes</pre> </body> </html> "
"/v1/restaurante","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/restaurante</pre> </body> </html> "
"/v1/restaurante/admin","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/restaurante/admin</pre> </body> </html> "
"/v1/retenciones","GET","","false","request_error","This operation was aborted"
"/v1/settings","GET","200","true","ok_or_client_error","{""bancos"":{""defaultGateway"":"""",""formatoExportacion"":""csv"",""precisionBancaria"":2},""contabilidad"":{""asientoAutomaticoCompras"":true,""asientoAutomaticoVentas"":true,""formatoPlanCuentas"""
"/v1/sistema","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/sistema</pre> </body> </html> "
"/v1/supervision","GET","404","false","ok_or_client_error","<!DOCTYPE html> <html lang=""en""> <head> <meta charset=""utf-8""> <title>Error</title> </head> <body> <pre>Cannot GET /v1/supervision</pre> </body> </html> "
"/v1/tipos","GET","","false","request_error","This operation was aborted"
"/v1/unidades","GET","","false","request_error","This operation was aborted"
"/v1/usuarios","GET","200","true","ok_or_client_error","{""rows"":[{""Cod_Usuario"":""OPERADOR"",""Nombre"":""Operador Restaurante"",""Avatar"":null,""Tipo"":""USER"",""Updates"":true,""Addnews"":true,""Deletes"":false,""Creador"":false,""Cambiar"":true,""PrecioM"
"/v1/vendedores","GET","","false","request_error","This operation was aborted"
